sparsity,pipeline,bits,size_bytes,snr_db,nnz
0.05,quant_only,4,65540,40.24310294561843,3303
0.05,quant_only,6,65540,40.24310294561843,3303
0.05,quant_only,8,65540,40.24310294561843,3303
0.05,zs_then_quant,4,29731,40.24310294561843,3303
0.05,zs_then_quant,6,29731,40.24310294561843,3303
0.05,zs_then_quant,8,29731,40.24310294561843,3303
0.1,quant_only,4,65540,41.24394386814862,6532
0.1,quant_only,6,65540,41.24394386814862,6532
0.1,quant_only,8,65540,41.24394386814862,6532
0.1,zs_then_quant,4,58792,41.24394386814862,6532
0.1,zs_then_quant,6,58792,41.24394386814862,6532
0.1,zs_then_quant,8,58792,41.24394386814862,6532
0.2,quant_only,4,65540,38.970969986712454,13103
0.2,quant_only,6,65540,38.970969986712454,13103
0.2,quant_only,8,65540,38.970969986712454,13103
0.2,zs_then_quant,4,117931,38.970969986712454,13103
0.2,zs_then_quant,6,117931,38.970969986712454,13103
0.2,zs_then_quant,8,117931,38.970969986712454,13103
0.5,quant_only,4,65540,39.9958074595647,32790
0.5,quant_only,6,65540,39.9958074595647,32790
0.5,quant_only,8,65540,39.9958074595647,32790
0.5,zs_then_quant,4,295114,39.9958074595647,32790
0.5,zs_then_quant,6,295114,39.9958074595647,32790
0.5,zs_then_quant,8,295114,39.9958074595647,32790
